UniProtKB,Gene_symbol,Endogenous_interactions_with_virus_targets,Endogenous_interactions_with_virus_targets(No.),Endogenous_interactions_with_spike_targets(Frequency),Endogenous_interactions_with_envelope_targets(Frequency),Endogenous_interactions_with_membrane_targets(Frequency),Endogenous_interactions_with_nucleocapsid_targets(Frequency),Endogenous_interactions_with_orf3a_targets(Frequency),Endogenous_interactions_with_orf6_targets(Frequency),Endogenous_interactions_with_orf7a_targets(Frequency),Endogenous_interactions_with_orf8_targets(Frequency),Endogenous_interactions_with_orf10_targets(Frequency),Endogenous_interactions_with_NSP1_targets(Frequency),Endogenous_interactions_with_NSP2_targets(Frequency),Endogenous_interactions_with_NSP3_targets(Frequency),Endogenous_interactions_with_NSP4_targets(Frequency),Endogenous_interactions_with_NSP5_targets(Frequency),Endogenous_interactions_with_NSP6_targets(Frequency),Endogenous_interactions_with_NSP7_targets(Frequency),Endogenous_interactions_with_NSP8_targets(Frequency),Endogenous_interactions_with_NSP9_targets(Frequency),Endogenous_interactions_with_NSP10_targets(Frequency),Endogenous_interactions_with_NSP11_targets(Frequency),Endogenous_interactions_with_NSP12_targets(Frequency),Endogenous_interactions_with_NSP13_targets(Frequency),Endogenous_interactions_with_NSP14_targets(Frequency),Endogenous_interactions_with_NSP15_targets(Frequency),Endogenous_interactions_with_NSP16_targets(Frequency)
Q92731,ESR2,E:CWC27;E:BRD4;E:AP3B1;E:ZC3H18;M:TUBGCP2;M:SLC30A7;M:ATP6V1A;M:INTS4;M:AKAP8L;M:TARS2;M:BZW2;M:ETFA;M:STOM;M:GGCX;M:RTN4;N:RPL36;N:LARP1;N:FAM98A;N:SNIP1;N:CSNK2B;N:MOV10;N:PABPC4;nsp10:AP2A2;nsp10:ERGIC1;nsp12:LARP4B;nsp12:MYCBP2;nsp12:ZNF318;nsp12:SLU7;nsp12:BCKDK;nsp12:PDZD11;nsp12:SBNO1;nsp12:PPIL3;nsp12:PLEKHA5;nsp12:ZC3H7A;nsp12:TYSND1;nsp12:AKAP8;nsp13:GOLGA3;nsp13:AKAP9;nsp13:CIT;nsp13:FYCO1;nsp13:CENPF;nsp13:TBK1;nsp13:GOLGA2;nsp13:GOLGB1;nsp13:RDX;nsp13:PRKAR2A;nsp13:GORASP1;nsp2:FKBP15;nsp2:EIF4E2;nsp4:NUP210;nsp4:IDE;nsp5:HDAC2;nsp6:ATP5MG;nsp7:RAB18;nsp7:LMAN2;nsp7:RAB10;nsp7:TOR1AIP1;nsp7:SCCPDH;nsp7:PTGES2;nsp7:ACSL3;nsp7:GNB1;nsp7:RALA;nsp7:RAB1A;nsp7:RAB5C;nsp7:MOGS;nsp7:HS2ST1;nsp8:MRPS27;nsp8:MRPS2;nsp8:MRPS5;nsp8:EXOSC2;nsp8:EXOSC8;nsp8:NGDN;nsp8:MRPS25;nsp8:NOL10;nsp8:MPHOSPH10;nsp8:LARP7;nsp8:AATF;nsp8:DDX10;nsp8:EXOSC5;nsp8:SRP72;nsp8:SRP54;nsp8:NSD2;nsp9:NUP62;nsp9:MIB1;nsp9:NUP88;nsp9:NUP214;orf10:ELOC;orf3a:SUN2;orf3a:VPS11;orf3a:TRIM59;orf6:NUP98;orf6:RAE1;orf7a:MDN1;orf8:EMC1;orf8:PLD3;orf8:SMOC1;orf8:PUSL1;orf8:CISD3;orf8:SDF2;orf8:HYOU1;,100,0,0.667,0.367,0.467,0.375,0.667,0.5,0.149,0.111,0,0.286,N/A,0.25,1,0.25,0.406,0.667,0.25,0.4,N/A,0.6,0.275,0,0,N/A
P04629,NTRK1,E:ZC3H18;E:AP3B1;M:ETFA;M:AKAP8L;M:ACADM;M:ATP1B1;M:ATP6V1A;M:FASTKD5;M:BZW2;M:TARS2;M:RTN4;M:PSMD8;M:INTS4;M:TUBGCP3;M:TUBGCP2;N:PABPC1;N:FAM98A;N:CSNK2B;N:CSNK2A2;N:LARP1;N:RBM28;N:G3BP2;N:DDX21;N:PABPC4;N:UPF1;N:G3BP1;N:MOV10;nsp1:COLGALT1;nsp1:POLA1;nsp1:PRIM2;nsp10:AP2A2;nsp10:GRPEL1;nsp10:ERGIC1;nsp12:ZC3H7A;nsp12:LARP4B;nsp12:SBNO1;nsp12:UBAP2;nsp12:UBAP2L;nsp12:TCF12;nsp13:GOLGA3;nsp13:GOLGA2;nsp13:TBK1;nsp13:TLE3;nsp13:RDX;nsp14:IMPDH2;nsp2:GIGYF2;nsp2:WASHC4;nsp2:RAP1GDS1;nsp2:POR;nsp4:NUP210;nsp4:DNAJC11;nsp4:IDE;nsp5:HDAC2;nsp7:ACSL3;nsp7:GNB1;nsp7:TOR1AIP1;nsp7:SCCPDH;nsp7:MOGS;nsp7:AGPS;nsp7:RAB5C;nsp7:RALA;nsp7:LMAN2;nsp8:DDX10;nsp8:LARP7;nsp8:MRPS2;nsp8:MRPS5;nsp8:MRPS27;nsp8:MEPCE;nsp8:SRP72;nsp8:SRP54;nsp9:GTF2F2;nsp9:NUP54;nsp9:MIB1;nsp9:NUP214;nsp9:EIF4H;nsp9:NEK9;nsp9:NUP88;orf10:MAP7D1;orf10:ZYG11B;orf10:CUL2;orf3a:SUN2;orf3a:VPS39;orf3a:VPS11;orf8:DNMT1;orf8:EDEM3;orf8:PLD3;orf8:EMC1;orf8:ERP44;orf8:GGH;orf8:ITGB1;orf8:HYOU1;,91,0,0.333,0.433,0.8,0.375,0,0,0.17,0.333,0.5,0.571,N/A,0.375,1,0,0.281,0.333,0.438,0.6,N/A,0.3,0.125,0.333,0,N/A
Q14258,TRIM25,E:AP3B1;E:BRD4;M:PMPCB;M:AKAP8L;M:ATP1B1;M:RTN4;M:SAAL1;M:GGCX;M:ETFA;M:PSMD8;N:G3BP1;N:PABPC4;N:RPL36;N:PABPC1;N:UPF1;N:LARP1;N:G3BP2;nsp1:COLGALT1;nsp1:POLA1;nsp10:GRPEL1;nsp10:ERGIC1;nsp10:AP2M1;nsp12:TCF12;nsp12:CRTC3;nsp12:UBAP2L;nsp12:UBAP2;nsp12:USP54;nsp12:LARP4B;nsp13:TLE1;nsp13:CEP250;nsp13:FYCO1;nsp13:GOLGA3;nsp13:RDX;nsp13:ERC1;nsp13:PRKAR2B;nsp14:IMPDH2;nsp15:NUTF2;nsp2:GIGYF2;nsp2:RAP1GDS1;nsp4:DNAJC11;nsp7:RAB10;nsp7:RAB7A;nsp7:HS2ST1;nsp7:SCARB1;nsp7:QSOX2;nsp7:GNB1;nsp7:ACSL3;nsp7:RALA;nsp7:RAB2A;nsp8:NSD2;nsp8:SRP72;nsp8:ATE1;nsp8:HECTD1;nsp8:MRPS25;nsp8:EXOSC3;nsp8:NOL10;nsp8:DDX10;nsp9:DCAF7;nsp9:NUP88;orf3a:SUN2;orf3a:TRIM59;orf6:NUP98;orf8:STC2;orf8:SMOC1;orf8:CHPF;orf8:COL6A1;orf8:FKBP10;orf8:NPTX1;orf8:PVR;Spike:ZDHHC5;,70,0.5,0.333,0.267,0.467,0.25,0.333,0,0.149,0,0.333,0.286,N/A,0.125,0,0,0.281,0.333,0.125,0.6,N/A,0.3,0.175,0.333,0.333,N/A
Q9H6Z9,EGLN3,M:TUBGCP3;M:ATP6V1A;M:SLC25A21;M:FASTKD5;M:SLC30A9;M:TUBGCP2;M:COQ8B;M:AAR2;M:SLC30A7;M:AKAP8L;M:TARS2;M:SAAL1;N:CSNK2B;N:CSNK2A2;nsp1:PRIM1;nsp1:PKP2;nsp10:GFER;nsp12:RIPK1;nsp12:PRRC2B;nsp12:USP54;nsp12:MYCBP2;nsp12:CRTC3;nsp12:ZNF318;nsp12:PDZD11;nsp12:UBAP2;nsp12:TCF12;nsp12:UBAP2L;nsp12:PLEKHA5;nsp13:TBKBP1;nsp13:TBK1;nsp13:PRKAR2A;nsp13:CEP350;nsp13:GORASP1;nsp13:NIN;nsp13:CDK5RAP2;nsp13:CENPF;nsp13:CNTRL;nsp14:GLA;nsp14:IMPDH2;nsp2:EIF4E2;nsp2:GIGYF2;nsp4:DNAJC11;nsp7:RHOA;nsp7:TOR1AIP1;nsp7:GNB1;nsp7:ACSL3;nsp7:NAT14;nsp8:SRP54;nsp8:HECTD1;nsp9:FBN2;nsp9:NEK9;nsp9:MIB1;orf10:PPT1;orf10:ELOB;orf10:ELOC;orf10:TIMM8B;orf6:RAE1;orf6:MTCH1;orf8:OS9;orf8:ERP44;orf8:FBXL12;orf8:FOXRED2;,62,0,0,0.4,0.133,0,0.667,0,0.085,0.444,0.333,0.286,N/A,0.125,0,0,0.156,0.083,0.188,0.2,N/A,0.55,0.225,0.667,0,N/A
Q15717,ELAVL1,E:BRD2;E:BRD4;E:ZC3H18;M:TUBGCP3;M:SLC30A9;M:BZW2;M:SLC30A7;M:ATP1B1;M:ATP6V1A;M:ANO6;M:AAR2;N:G3BP1;N:PABPC1;N:PABPC4;N:LARP1;N:G3BP2;nsp1:COLGALT1;nsp1:PRIM2;nsp12:AKAP8;nsp12:TCF12;nsp12:PLEKHA5;nsp12:PPIL3;nsp12:UBAP2L;nsp12:LARP4B;nsp13:GOLGA3;nsp13:NIN;nsp13:CIT;nsp13:TLE5;nsp13:RDX;nsp13:PDE4DIP;nsp13:PRKAR2A;nsp15:NUTF2;nsp15:RNF41;nsp2:GIGYF2;nsp5:HDAC2;nsp7:GNB1;nsp7:TOR1AIP1;nsp7:RAB10;nsp7:RAB7A;nsp7:CYB5B;nsp7:RAB8A;nsp7:DCAKD;nsp7:RALA;nsp7:RAB1A;nsp8:MRPS27;nsp8:LARP7;nsp8:MEPCE;nsp9:MAT2B;orf10:ZYG11B;orf10:RBX1;orf10:CUL2;orf3a:HMOX1;orf7a:HEATR3;orf8:INHBE;orf8:ITGB1;orf8:NPTX1;orf8:STC2;orf8:PLEKHF2;orf8:PVR;orf8:ERP44;orf8:TOR1A;,61,0,0.5,0.267,0.333,0.125,0,0.5,0.17,0.333,0.333,0.143,N/A,0,1,0,0.281,0.125,0.062,0,N/A,0.3,0.175,0,0.667,N/A
P78317,RNF4,E:BRD4;M:FASTKD5;M:REEP5;M:SLC30A9;M:YIF1A;M:AAR2;M:REEP6;M:SLC30A7;M:RTN4;M:ATP1B1;M:GGCX;M:STOM;N:RPL36;N:SNIP1;nsp10:ERGIC1;nsp10:AP2A2;nsp12:UBAP2;nsp13:USP13;nsp13:GOLGB1;nsp14:IMPDH2;nsp2:POR;nsp2:WASHC4;nsp4:NUP210;nsp6:SIGMAR1;nsp6:ATP6AP1;nsp7:RAB5C;nsp7:RAB1A;nsp7:RAB2A;nsp7:RAB8A;nsp7:QSOX2;nsp7:MOGS;nsp7:RAB7A;nsp7:RAB18;nsp7:AGPS;nsp7:RAB10;nsp7:LMAN2;nsp7:SCCPDH;nsp7:RAB14;nsp7:CYB5B;nsp7:SELENOS;nsp7:COMT;nsp7:CYB5R3;nsp7:SCARB1;nsp7:ACSL3;nsp8:MEPCE;nsp9:FBN2;orf3a:ARL6IP6;orf3a:CLCC1;orf3a:SUN2;orf3a:ALG5;orf3a:HMOX1;orf6:MTCH1;orf8:PVR;orf8:LOX;orf8:SDF2;orf8:IL17RA;orf8:ADAM9;orf8:ITGB1;Spike:ZDHHC5;Spike:GOLGA7;,60,1,0.167,0.367,0.133,0.625,0.333,0,0.128,0,0,0.286,N/A,0.125,0,0.5,0.594,0.042,0.062,0.4,N/A,0.05,0.05,0.333,0,N/A
P05412,JUN,E:BRD4;E:AP3B1;E:BRD2;M:ATP6V1A;M:ACADM;M:PMPCB;M:TARS2;M:TUBGCP2;M:PSMD8;M:ETFA;N:CSNK2B;N:MOV10;N:FAM98A;N:G3BP2;N:LARP1;N:RBM28;N:PABPC1;N:RPL36;N:UPF1;N:G3BP1;N:PABPC4;N:CSNK2A2;N:DDX21;nsp1:PRIM2;nsp10:GRPEL1;nsp10:AP2M1;nsp12:UBAP2L;nsp12:PRRC2B;nsp12:LARP4B;nsp13:GOLGA2;nsp13:CENPF;nsp13:PRKAR2A;nsp14:IMPDH2;nsp4:IDE;nsp5:HDAC2;nsp7:RAB10;nsp7:RAB1A;nsp7:GNB1;nsp7:ACSL3;nsp7:MOGS;nsp7:NAT14;nsp8:LARP7;nsp8:EXOSC8;nsp8:AATF;nsp8:EXOSC3;nsp8:MRPS5;nsp8:MRPS2;nsp8:MRPS27;nsp8:SRP72;nsp8:EXOSC2;nsp9:GTF2F2;nsp9:DCAF7;orf10:MAP7D1;orf10:ELOB;orf6:RAE1;orf7a:HEATR3;orf8:DNMT1;orf8:HYOU1;orf8:FBXL12;,59,0,0.5,0.233,0.867,0,0.333,0.5,0.064,0.222,0.167,0,N/A,0.125,1,0,0.188,0.375,0.125,0.4,N/A,0.15,0.075,0.333,0,N/A
P61956,SUMO2,E:BRD4;M:STOM;M:AKAP8L;M:ATP6V1A;M:PSMD8;M:INTS4;M:REEP5;M:TUBGCP2;M:PITRM1;M:PMPCB;M:ETFA;M:TARS2;M:ACADM;N:CSNK2B;N:DDX21;N:FAM98A;N:G3BP2;N:PABPC1;N:PABPC4;N:SNIP1;N:RBM28;N:UPF1;nsp1:PRIM2;nsp1:POLA1;nsp1:COLGALT1;nsp10:AP2A2;nsp10:ERGIC1;nsp12:SBNO1;nsp12:CRTC3;nsp12:AKAP8;nsp12:ZNF318;nsp12:SLU7;nsp13:CENPF;nsp2:POR;nsp4:NUP210;nsp5:HDAC2;nsp7:RAB18;nsp7:RAB1A;nsp7:ACSL3;nsp7:RAB2A;nsp7:AGPS;nsp7:CYB5R3;nsp7:GNB1;nsp7:PTGES2;nsp8:NGDN;nsp8:AATF;nsp8:MPHOSPH10;nsp8:MRPS2;nsp8:MRPS5;nsp9:SPART;nsp9:NUP214;nsp9:DCAF7;nsp9:MAT2B;nsp9:NUP88;orf6:NUP98;orf7a:MDN1;orf7a:HEATR3;orf8:DNMT1;,58,0,0.167,0.4,0.6,0,0.333,1,0.021,0,0.5,0.143,N/A,0.125,1,0,0.25,0.208,0.312,0.4,N/A,0.25,0.025,0,0,N/A
Q15029,EFTUD2,E:ZC3H18;E:AP3B1;M:AAR2;N:DDX21;N:G3BP2;N:G3BP1;N:LARP1;N:PABPC1;N:CSNK2A2;N:CSNK2B;N:FAM98A;N:RPL36;N:UPF1;N:PABPC4;nsp1:COLGALT1;nsp1:POLA1;nsp1:PRIM2;nsp10:AP2M1;nsp10:AP2A2;nsp12:UBAP2L;nsp12:SBNO1;nsp13:ERC1;nsp13:GOLGB1;nsp13:GOLGA2;nsp13:RDX;nsp14:IMPDH2;nsp2:GIGYF2;nsp2:EIF4E2;nsp5:HDAC2;nsp7:DNAJC19;nsp7:RAB18;nsp7:RAB5C;nsp7:MOGS;nsp8:MRPS5;nsp8:MRPS25;nsp8:EXOSC2;nsp8:MRPS27;nsp8:EXOSC3;nsp8:MRPS2;nsp8:HECTD1;nsp8:CCDC86;nsp8:SRP72;nsp8:SRP19;nsp8:LARP7;nsp8:MEPCE;nsp9:GTF2F2;nsp9:NEK9;nsp9:MAT2B;orf10:ELOC;orf10:ELOB;orf10:MAP7D1;orf8:ERP44;orf8:EMC1;orf8:DNMT1;,54,0,0.333,0.033,0.733,0,0,0,0.064,0.333,0.5,0.286,N/A,0,1,0,0.125,0.5,0.188,0.4,N/A,0.1,0.1,0.333,0,N/A
O14980,XPO1,E:AP3B1;M:AKAP8L;M:TUBGCP3;M:TUBGCP2;M:AAR2;N:PABPC4;N:UPF1;N:CSNK2B;N:CSNK2A2;N:PABPC1;nsp1:POLA2;nsp10:AP2M1;nsp12:PLEKHA5;nsp12:ZC3H7A;nsp12:TYSND1;nsp12:RIPK1;nsp12:UBAP2L;nsp12:TCF12;nsp12:LARP4B;nsp12:CRTC3;nsp12:SLU7;nsp13:TBK1;nsp13:CEP350;nsp13:FYCO1;nsp13:PRKAR2A;nsp13:PRKACA;nsp13:GOLGA2;nsp13:GORASP1;nsp2:GIGYF2;nsp2:EIF4E2;nsp2:WASHC4;nsp2:FKBP15;nsp4:DNAJC11;nsp7:GNB1;nsp8:EXOSC5;nsp8:SEPSECS;nsp8:SRP72;nsp8:SRP54;nsp8:SRP19;nsp8:AATF;nsp8:MEPCE;nsp9:NEK9;nsp9:GTF2F2;nsp9:DCAF7;nsp9:NUP214;nsp9:NUP62;nsp13:CEP43;,47,0,0.167,0.133,0.333,0,0,0,0,0,0.167,0.571,N/A,0.125,0,0,0.031,0.292,0.312,0.2,N/A,0.45,0.2,0,0,N/A
Q8IWL3,HSCB,M:AASS;M:AKAP8L;M:TARS2;M:GGCX;M:AAR2;M:BZW2;M:SAAL1;M:COQ8B;M:PITRM1;M:ETFA;N:DDX21;nsp1:PRIM2;nsp10:GFER;nsp10:GRPEL1;nsp12:AKAP8;nsp12:RIPK1;nsp13:GOLGA2;nsp6:SIGMAR1;nsp7:CYB5B;nsp7:QSOX2;nsp7:HS2ST1;nsp7:AGPS;nsp7:RALA;nsp7:PTGES2;nsp7:DCAKD;nsp7:LMAN2;nsp7:CYB5R3;nsp7:SCCPDH;nsp7:TOR1AIP1;nsp8:SRP19;nsp8:NARS2;nsp9:DCAF7;nsp9:NEK9;nsp9:MAT2B;orf10:PPT1;orf3a:SUN2;orf6:MTCH1;orf7a:MDN1;orf7a:HEATR3;orf8:OS9;orf8:ERP44;orf8:GGH;orf8:FOXRED2;orf8:TOR1A;orf8:ITGB1;orf8:EMC1;nsp7:MTARC1;,47,0,0,0.333,0.067,0.125,0.333,1,0.149,0.111,0.167,0,N/A,0,0,0.25,0.375,0.083,0.188,0.4,N/A,0.1,0.025,0,0,N/A
Q13618,CUL3,E:ZC3H18;E:BRD4;M:TARS2;M:ACADM;M:AKAP8L;M:ATP6V1A;M:AAR2;N:G3BP1;N:LARP1;N:PABPC4;N:RPL36;N:MOV10;N:RBM28;N:G3BP2;N:PABPC1;N:DDX21;N:UPF1;N:FAM98A;nsp1:PKP2;nsp10:AP2M1;nsp12:AKAP8;nsp12:UBAP2;nsp12:UBAP2L;nsp12:LARP4B;nsp13:PRKACA;nsp13:ERC1;nsp14:IMPDH2;nsp7:RHOA;nsp7:RAB18;nsp8:EXOSC5;nsp8:MEPCE;nsp8:MRPS5;nsp8:SRP72;nsp8:MRPS27;nsp9:NUP62;nsp9:NUP214;nsp9:NUP88;orf10:ELOC;orf10:ELOB;orf10:RBX1;orf3a:CLCC1;orf6:RAE1;orf8:POGLUT2;orf8:EMC1;,44,0,0.333,0.167,0.733,0.125,0.333,0,0.043,0.333,0.167,0,N/A,0,0,0,0.062,0.208,0.188,0.2,N/A,0.2,0.05,0.333,0,N/A
Q9NRD1,FBXO6,M:GGCX;M:FASTKD5;M:STOM;M:ATP6V1A;M:SLC25A21;N:PABPC1;N:DDX21;nsp1:COLGALT1;nsp14:IMPDH2;nsp14:GLA;nsp4:NUP210;nsp4:DNAJC11;nsp6:ATP6AP1;nsp7:SCARB1;nsp7:COMT;nsp9:FBN2;nsp9:NUP214;orf10:RBX1;orf10:PPT1;orf6:NUP98;orf8:ERO1B;orf8:POFUT1;orf8:POGLUT3;orf8:PLOD2;orf8:HYOU1;orf8:FKBP10;orf8:ITGB1;orf8:GGH;orf8:FOXRED2;orf8:EDEM3;orf8:COL6A1;orf8:EMC1;orf8:PLD3;orf8:NEU1;orf8:CHPF2;orf8:ERLEC1;orf8:OS9;orf8:SIL1;orf8:CHPF;orf8:NGLY1;orf8:UGGT2;,41,0,0,0.167,0.133,0,0.333,0,0.447,0.222,0.167,0,N/A,0.25,0,0.25,0.062,0,0.125,0,N/A,0,0,0.667,0,N/A
Q9UBU9,NXF1,E:ZC3H18;M:PMPCB;M:TUBGCP3;N:CSNK2B;N:FAM98A;N:UPF1;N:PABPC1;nsp1:POLA1;nsp1:PRIM1;nsp10:AP2A2;nsp12:TCF12;nsp12:UBAP2L;nsp12:SLU7;nsp12:AKAP8;nsp13:PRKACA;nsp13:CEP250;nsp13:CEP350;nsp15:NUTF2;nsp5:HDAC2;nsp6:SIGMAR1;nsp6:ATP6AP1;nsp7:RAB5C;nsp7:CYB5B;nsp7:CYB5R3;nsp7:LMAN2;nsp8:MRPS27;nsp8:EXOSC2;nsp8:EXOSC3;nsp8:EXOSC8;nsp8:AATF;nsp8:MRPS5;nsp9:NUP88;nsp9:NUP214;nsp9:NUP62;orf10:CUL2;orf3a:VPS11;orf6:RAE1;orf6:NUP98;orf8:POFUT1;orf8:HYOU1;,40,0,0.167,0.067,0.267,0.125,0.667,0,0.043,0.111,0.333,0,N/A,0,1,0.5,0.125,0.25,0.188,0.2,N/A,0.2,0.075,0,0.333,N/A
Q9NRC8,SIRT7,E:ZC3H18;N:MOV10;N:PABPC4;N:RBM28;N:PABPC1;N:G3BP1;N:UPF1;N:CSNK2A2;N:RRP9;N:DDX21;N:LARP1;nsp1:POLA1;nsp12:PRRC2B;nsp12:UBAP2L;nsp12:ZNF318;nsp12:MYCBP2;nsp12:LARP4B;nsp13:PCNT;nsp13:CENPF;nsp14:IMPDH2;nsp2:GIGYF2;nsp4:NUP210;nsp5:HDAC2;nsp7:ACSL3;nsp8:AATF;nsp8:MPHOSPH10;nsp8:LARP7;nsp8:HECTD1;nsp8:SRP72;nsp8:NOL10;nsp8:DDX10;nsp8:CCDC86;nsp8:NSD2;nsp9:NUP88;nsp9:NUP214;nsp9:DCAF7;orf6:NUP98;orf7a:MDN1;orf8:HYOU1;orf8:DNMT1;,40,0,0.167,0,0.667,0,0.333,0.5,0.043,0,0.167,0.143,N/A,0.125,1,0,0.031,0.375,0.188,0,N/A,0.25,0.05,0.333,0,N/A
P14866,HNRNPL,M:ATP6V1A;M:TARS2;M:REEP5;N:LARP1;nsp10:ERGIC1;nsp12:UBAP2L;nsp12:MYCBP2;nsp13:GCC2;nsp13:TBKBP1;nsp13:TBK1;nsp13:TLE5;nsp13:GOLGB1;nsp13:PCNT;nsp13:MIPOL1;nsp13:TLE3;nsp4:NUP210;nsp4:IDE;nsp6:SIGMAR1;nsp7:HS2ST1;nsp7:RAB10;nsp7:DCAKD;nsp7:FAM162A;nsp7:SCARB1;nsp7:RALA;nsp7:RAB7A;nsp8:HECTD1;nsp8:EXOSC3;nsp8:SRP54;nsp8:NSD2;nsp8:LARP7;nsp9:NEK9;orf3a:CLCC1;orf8:CISD3;orf8:OS9;orf8:SIL1;orf8:PLD3;orf8:ITGB1;orf8:PVR;nsp7:MTARC1;nsp13:CEP43;,40,0,0,0.1,0.067,0.125,0,0,0.128,0,0,0,N/A,0.25,0,0.25,0.25,0.208,0.062,0.2,N/A,0.1,0.225,0,0,N/A
Q8NFZ5,TNIP2,E:CWC27;E:ZC3H18;M:ETFA;M:REEP5;M:BZW2;N:LARP1;N:CSNK2B;N:MOV10;N:FAM98A;N:UPF1;N:PABPC1;N:PABPC4;nsp1:COLGALT1;nsp12:AKAP8;nsp12:ZNF318;nsp12:PLEKHA5;nsp12:ZC3H7A;nsp13:NINL;nsp13:FYCO1;nsp13:TLE1;nsp13:TBK1;nsp13:CDK5RAP2;nsp13:MIPOL1;nsp14:IMPDH2;nsp2:GIGYF2;nsp7:GNB1;nsp7:LMAN2;nsp8:MPHOSPH10;nsp8:NGDN;nsp9:NUP62;nsp9:DCAF7;nsp9:EIF4H;orf10:ELOB;orf10:TIMM8B;orf10:RBX1;orf8:DNMT1;orf8:FBXL12;Spike:GOLGA7;,38,0.5,0.333,0.1,0.467,0,0,0,0.043,0.333,0.167,0.143,N/A,0,0,0,0.062,0.083,0.188,0,N/A,0.2,0.15,0.333,0,N/A
P00533,EGFR,M:BZW2;M:SAAL1;M:TARS2;M:TUBGCP2;M:STOM;M:ATP1B1;M:AAR2;N:FAM98A;N:G3BP1;nsp1:PRIM1;nsp1:PKP2;nsp10:AP2A2;nsp10:AP2M1;nsp12:RBM41;nsp12:UBAP2L;nsp12:RIPK1;nsp13:TBK1;nsp13:GOLGB1;nsp13:PRKACA;nsp15:ARF6;nsp2:GIGYF2;nsp2:RAP1GDS1;nsp4:DNAJC11;nsp6:ATP5MG;nsp7:RAB18;nsp7:TOR1AIP1;nsp7:RAB1A;nsp7:RAB7A;nsp7:ACSL3;nsp8:EXOSC3;orf7a:HEATR3;orf8:OS9;orf8:PLD3;orf8:HYOU1;orf8:SDF2;orf8:NGLY1;orf8:ITGB1;,37,0,0,0.233,0.133,0,0,0.5,0.128,0,0.333,0.286,N/A,0.125,0,0.25,0.156,0.042,0,0.4,N/A,0.15,0.075,0,0.333,N/A
Q16666,IFI16,N:RRP9;N:LARP1;N:CSNK2A2;N:CSNK2B;N:UPF1;N:RBM28;N:MOV10;N:PABPC4;N:G3BP1;N:DDX21;N:PABPC1;nsp12:LARP4B;nsp7:TOR1AIP1;nsp7:RAB14;nsp8:SRP72;nsp8:EXOSC8;nsp8:AATF;nsp8:EXOSC3;nsp8:EXOSC2;nsp8:LARP7;nsp8:CCDC86;nsp8:MPHOSPH10;nsp8:DDX10;nsp8:NGDN;nsp8:NOL10;nsp8:NSD2;nsp9:NUP214;nsp9:NUP88;nsp9:NUP58;nsp9:NUP62;nsp9:NUP54;orf10:ELOC;orf3a:SUN2;orf6:RAE1;orf6:NUP98;orf8:DNMT1;,36,0,0,0,0.733,0.125,0.667,0,0.021,0.111,0,0,N/A,0,0,0,0.062,0.5,0.312,0,N/A,0.05,0,0,0,N/A
P38398,BRCA1,M:ATP1B1;N:PABPC1;N:RBM28;N:UPF1;N:MOV10;N:LARP1;N:DDX21;N:FAM98A;N:RPL36;N:PABPC4;N:CSNK2B;nsp10:GRPEL1;nsp12:AKAP8;nsp12:UBAP2L;nsp12:UBAP2;nsp13:RDX;nsp13:CEP350;nsp13:CENPF;nsp13:ERC1;nsp13:NINL;nsp13:GCC1;nsp14:IMPDH2;nsp5:HDAC2;nsp8:SRP72;nsp8:EXOSC8;nsp9:DCAF7;nsp9:NUP214;orf10:ZYG11B;orf10:CUL2;orf8:DNMT1;orf8:HYOU1;orf8:NPC2;orf8:ERO1B;Spike:ZDHHC5;nsp13:CEP43;,35,0.5,0,0.033,0.667,0,0,0,0.085,0.222,0,0,N/A,0,1,0,0,0.083,0.125,0.2,N/A,0.15,0.175,0.333,0,N/A
Q15004,PCLAF,N:PABPC4;N:MOV10;N:LARP1;N:UPF1;N:G3BP1;N:PABPC1;N:RBM28;N:G3BP2;N:DDX21;N:FAM98A;N:RPL36;nsp1:COLGALT1;nsp1:POLA1;nsp12:UBAP2L;nsp13:NIN;nsp13:ERC1;nsp13:CENPF;nsp13:PRKAR2A;nsp13:RDX;nsp13:GOLGB1;nsp14:IMPDH2;nsp4:NUP210;nsp7:COMT;nsp8:EXOSC5;nsp8:EXOSC3;nsp8:MRPS27;nsp8:EXOSC2;nsp8:HECTD1;nsp9:NUP214;nsp9:NUP88;nsp9:NUP62;orf10:ELOB;orf6:RAE1;orf8:DNMT1;,34,0,0,0,0.733,0,0.333,0,0.021,0.111,0.333,0,N/A,0.125,0,0,0.031,0.208,0.188,0,N/A,0.05,0.15,0.333,0,N/A
P03372,ESR1,M:ETFA;M:REEP6;M:STOM;N:PABPC1;N:DDX21;N:RPL36;N:RBM28;N:LARP1;N:UPF1;N:G3BP2;N:G3BP1;nsp10:AP2M1;nsp10:AP2A2;nsp12:AKAP8;nsp12:UBAP2L;nsp13:PRKAR2A;nsp13:GOLGA2;nsp13:TBK1;nsp13:RDX;nsp14:IMPDH2;nsp2:POR;nsp5:HDAC2;nsp7:FAM162A;nsp7:TOR1AIP1;nsp7:RAB10;nsp7:MOGS;nsp7:RAB7A;nsp7:RAB1A;nsp7:GNB1;nsp8:HECTD1;orf10:RBX1;orf3a:TRIM59;orf8:HYOU1;,33,0,0,0.1,0.533,0.125,0,0,0.021,0.111,0,0.143,N/A,0,1,0,0.219,0.042,0,0.4,N/A,0.1,0.1,0.333,0,N/A
